country,year,failure_rate
England,2018,0.11
England,2019,0.12
England,2020,0.16
England,2021,0.14
England,2022,0.13
England,2023,0.12

Scotland,2018,0.09
Scotland,2019,0.10
Scotland,2020,0.13
Scotland,2021,0.12
Scotland,2022,0.11
Scotland,2023,0.10

Wales,2018,0.13
Wales,2019,0.14
Wales,2020,0.18
Wales,2021,0.16
Wales,2022,0.15
Wales,2023,0.14

Northern_Ireland,2018,0.10
Northern_Ireland,2019,0.11
Northern_Ireland,2020,0.15
Northern_Ireland,2021,0.13
Northern_Ireland,2022,0.12
Northern_Ireland,2023,0.11

